process_name,upload_kbps,download_kbps
RiotClientServices.exe,4.4296875,24.404296875
opera.exe,4616.423828125,4602.4951171875
Discord.exe,0.1640625,0.1640625
msedgewebview2.exe,0.1640625,0.1640625
msedgewebview2.exe,0.6015625,0.21875
SearchHost.exe,91.8359375,50.6171875
OUTLOOK.EXE,98.0,0.0
steam.exe,0.0,119411.97265625
RiotClientServices.exe,0.0,20.419921875
opera.exe,451.900390625,323.4248046875
Discord.exe,6.70556640625,0.6015625
svchost.exe,0.0,8.830078125
SearchHost.exe,40.1484375,20.0
OUTLOOK.EXE,1.72265625,2.48828125
msedge.exe,72.1845703125,0.0
steam.exe,0.0,135902.3515625
msedgewebview2.exe,0.0,0.1640625
RiotClientServices.exe,0.0,17.9296875
opera.exe,54.03125,115.58203125
Discord.exe,0.2236328125,0.1640625
OUTLOOK.EXE,8552.22265625,2.48828125
steam.exe,0.0,68294.8359375
RiotClientServices.exe,0.0,25.8984375
NVIDIA App.exe,207.15234375,1421.921875
opera.exe,243.318359375,21.2734375
Discord.exe,5747.802734375,0.109375
OUTLOOK.EXE,208.70458984375,0.0
opera.exe,73.47265625,4.5546875
NVIDIA App.exe,4492.982421875,4664.73779296875
RiotClientServices.exe,0.0,18.92578125
lsass.exe,354.0078125,4539.54833984375
steam.exe,0.0,112966.78125
LeagueClient.exe,2542.5341796875,208183.259765625
Discord.exe,0.2734375,0.328125
nvcontainer.exe,98780.318359375,20758.400390625
nvcontainer.exe,76.189453125,40.38916015625
msedgewebview2.exe,0.1640625,0.1640625
OUTLOOK.EXE,14406.421875,0.609375
opera.exe,97.384765625,20.369140625
NVIDIA App.exe,182.42236328125,121.30029296875
LeagueClient.exe,23338.61181640625,542175.412109375
RiotClientServices.exe,42343.4931640625,81653.32080078125
lsass.exe,0.24609375,0.18359375
steam.exe,0.0439453125,27456.578125
svchost.exe,0.630859375,1.26171875
svchost.exe,48.189453125,1372.84130859375
nvcontainer.exe,8.046875,0.0
Discord.exe,0.109375,0.109375
nvcontainer.exe,9969.25927734375,744.2626953125
msedgewebview2.exe,49.0703125,0.0
OUTLOOK.EXE,304.45458984375,2061.2421875
opera.exe,89.98828125,32.4296875
NVIDIA App.exe,1372.76318359375,1556.5869140625
LeagueClient.exe,1156.56689453125,22687.85400390625
RiotClientServices.exe,166474.171875,-61034.17236328125
Discord.exe,6.3701171875,0.1640625
EpicGamesLauncher.exe,5274.36572265625,9653.84375
nvcontainer.exe,2522.24072265625,990.9765625
OUTLOOK.EXE,5.2734375,1765.125
RiotClientServices.exe,99056.95458984375,21.9140625
EpicGamesLauncher.exe,15929.85205078125,29160.5
LeagueClient.exe,733.6689453125,321125.95458984375
lsass.exe,0.24609375,0.18359375
steam.exe,0.4755859375,2594.9609375
Discord.exe,6.36767578125,0.109375
nvcontainer.exe,131.85400390625,495.6728515625
OUTLOOK.EXE,216.0,533.6328125
opera.exe,368.306640625,63.13671875
NVIDIA App.exe,93.13671875,10.390625
RiotClientServices.exe,0.0,25.400390625
EpicGamesLauncher.exe,37539.32080078125,70360.8134765625
LeagueClient.exe,2777.13818359375,591936.158203125
steam.exe,0.0,31.625
Discord.exe,6.693359375,0.4375
EpicGamesLauncher.exe,11131.47607421875,20235.27587890625
msedgewebview2.exe,1.3125,4.70703125
OUTLOOK.EXE,667.72265625,701.43994140625
opera.exe,439.6416015625,60.55859375
NVIDIA App.exe,0.90625,0.15625
RiotClientServices.exe,12.5322265625,18.92578125
EpicWebHelper.exe,260.76171875,2551.1357421875
steam.exe,118.2333984375,285841.58984375
Discord.exe,57.3330078125,0.3828125
svchost.exe,0.0,0.9609375
Discord.exe,6.5810546875,0.21875
nvcontainer.exe,1.26611328125,0.90234375
EpicGamesLauncher.exe,81041.5322265625,151373.83642578125
msedgewebview2.exe,1852.4853515625,4753.8896484375
opera.exe,125.98779296875,3887.1337890625
NVIDIA App.exe,0.76171875,60.64453125
RiotClientServices.exe,6.44921875,26.396484375
EpicWebHelper.exe,182.33203125,1771.9287109375
LeagueClient.exe,265.47216796875,144659.33349609375
steam.exe,6.18896484375,4.1484375
Discord.exe,6.57861328125,0.1640625
EpicGamesLauncher.exe,73876.91748046875,574012.5561523438
msedgewebview2.exe,0.2734375,0.2734375
steam.exe,262.25146484375,527303.1162109375
OUTLOOK.EXE,23880.4453125,0.0
opera.exe,269.63671875,51.48828125
RiotClientServices.exe,0.0,20.91796875
steamwebhelper.exe,20.26953125,1193.849609375
EpicWebHelper.exe,131.875,1348.798828125
LeagueClient.exe,156.57275390625,365631.2861328125
lsass.exe,1.185546875,0.6279296875
Discord.exe,0.765625,0.3828125
Discord.exe,0.109375,0.109375
EpicGamesLauncher.exe,44095.60595703125,135680.28369140625
msedgewebview2.exe,921.73876953125,2368.41357421875
steam.exe,36.91650390625,169.541015625
opera.exe,1.3125,1.61328125
RiotClientServices.exe,16.31884765625,23.408203125
steamwebhelper.exe,15.27734375,14.11328125
LeagueClient.exe,806.08837890625,8698.787109375
Code.exe,2.09375,8.2001953125
Discord.exe,3.08984375,14.068359375
Discord.exe,7.12109375,0.98828125
NVIDIA Overlay.exe,0.92724609375,0.0
EpicGamesLauncher.exe,1266900.87109375,852297.751953125
msedgewebview2.exe,0.328125,0.328125
msedgewebview2.exe,0.4375,0.4375
steam.exe,5.2392578125,406.00830078125
Code.exe,22842.21142578125,2400.6259765625
RiotClientServices.exe,21.94091796875,23.90625
EpicWebHelper.exe,139.83984375,316.9892578125
LeagueClient.exe,209.75732421875,520.8076171875
Discord.exe,6.68310546875,0.1640625
EpicGamesLauncher.exe,1487890.8666992188,1740103.7827148438
steam.exe,689.08251953125,1319254.3188476562
opera.exe,333.3125,241.80419921875
EpicWebHelper.exe,126.759765625,74.1875
LeagueClientUx.exe,16.6640625,991.265625
LeagueClient.exe,9551.06103515625,622893.9423828125
Discord.exe,1.1484375,1.1484375
Discord.exe,0.109375,0.109375
NVIDIA Overlay.exe,0.14453125,0.0
nvcontainer.exe,3682.2744140625,0.00244140625
EpicGamesLauncher.exe,736949.9418945312,39483.76220703125
steam.exe,1218.8125,1583041.88671875
ProxiFyre.exe,22.685546875,84.798828125
opera.exe,812.99609375,898.78564453125
RiotClientServices.exe,16.2666015625,23.408203125
EpicWebHelper.exe,7.875,3.3359375
LeagueClientUx.exe,14.47705078125,89.478515625
Discord.exe,36.58251953125,12.509765625
Discord.exe,3.671875,1.58203125
nvcontainer.exe,8592.4111328125,0.00341796875
EpicGamesLauncher.exe,362917.5380859375,995.08984375
msedgewebview2.exe,20.431640625,0.0
steam.exe,1858.416015625,-1054205.8774414062
OUTLOOK.EXE,92.0,0.0
RiotClientServices.exe,52440.3349609375,40865.505859375
steamwebhelper.exe,7.396484375,1.7265625
EpicWebHelper.exe,123.66015625,50.39453125
LeagueClient.exe,21902.94384765625,1037776.0546875
LeagueClientUx.exe,133.7275390625,150.07666015625
Discord.exe,20.1796875,2.26953125
msedgewebview2.exe,0.1640625,0.1640625
Discord.exe,9.4580078125,3.48046875
LeagueClientUxRender.exe,37.5361328125,405.30908203125
steam.exe,8390.4931640625,2113380.1376953125
EpicGamesLauncher.exe,104564.9072265625,8372.70703125
steamwebhelper.exe,55.1640625,43.541015625
LeagueClient.exe,658.8310546875,-205213.0625
EpicWebHelper.exe,18881.95361328125,4039.66015625
LeagueClientUx.exe,71.8359375,95.30908203125
LeagueClientUxRender.exe,167.41015625,1642.369140625
Discord.exe,8.326171875,146.8701171875
Discord.exe,2.9609375,3.06640625
steam.exe,4806.5908203125,1057782.5966796875
EpicGamesLauncher.exe,6997.39453125,961.779296875
opera.exe,0.8984375,0.71484375
steamwebhelper.exe,1622.333984375,3014.2109375
EpicWebHelper.exe,245.3642578125,215.572265625
svchost.exe,44671.60205078125,106525670.609375
LeagueClientUx.exe,0.05615234375,0.5751953125
RiotClientServices.exe,1.3798828125,29.8828125
QtWebEngineProcess.exe,15.1640625,603.03515625
stremio.exe,38.7236328125,3283.9775390625
Discord.exe,0.1640625,0.1640625
steam.exe,21920.28076171875,1224.126953125
EpicGamesLauncher.exe,6268.74267578125,4399.65576171875
steamwebhelper.exe,296.5703125,185.58544921875
EpicWebHelper.exe,1836.74755859375,611.2509765625
svchost.exe,4.0234375,13714.0625
LeagueClient.exe,570.40478515625,0.0
LeagueClientUx.exe,0.94140625,17.87109375
LeagueClientUxRender.exe,0.390625,0.1953125
RiotClientServices.exe,0.0,22.91015625
QtWebEngineProcess.exe,107.9736328125,62.2275390625
stremio.exe,17.734375,85.66650390625
Discord.exe,6.84228515625,0.2734375
MsMpEng.exe,172869.91259765625,422618.87255859375
steam.exe,1560.28564453125,470.23095703125
msedgewebview2.exe,0.2734375,0.2734375
steamwebhelper.exe,6332.646484375,7694.36572265625
opera.exe,111.482421875,29.078125
